Date,Close
25-10-2006,12.119573
26-10-2006,12.082213
27-10-2006,11.835637
30-10-2006,11.869759
31-10-2006,11.865276
01-11-2006,11.643856
02-11-2006,11.703881
03-11-2006,11.750955
06-11-2006,11.879224
07-11-2006,11.770133
08-11-2006,11.830656
09-11-2006,11.771627
10-11-2006,11.794541
13-11-2006,11.980843
14-11-2006,12.186821
15-11-2006,12.252325
16-11-2006,12.351205
17-11-2006,12.423185
20-11-2006,12.330034
21-11-2006,12.693671
22-11-2006,12.652824
24-11-2006,12.577855
27-11-2006,12.073496
28-11-2006,12.191802
29-11-2006,12.071005
30-11-2006,12.07499
01-12-2006,11.975114
04-12-2006,12.075986
05-12-2006,12.129536
06-12-2006,12.172126
07-12-2006,12.020943
08-12-2006,12.057555
11-12-2006,12.053072
12-12-2006,11.999523
13-12-2006,11.930033
14-12-2006,12.007991
15-12-2006,11.962661
18-12-2006,11.526795
19-12-2006,11.672
20-12-2006,11.529285
21-12-2006,11.362411
22-12-2006,11.346969
26-12-2006,11.395537
27-12-2006,11.657056
28-12-2006,11.520817
29-12-2006,11.469011
03-01-2007,11.646098
04-01-2007,12.036385
05-01-2007,12.134268
08-01-2007,12.044355
09-01-2007,12.092176
10-01-2007,12.190806
11-01-2007,12.446348
12-01-2007,12.577855
16-01-2007,12.559922
17-01-2007,12.385576
18-01-2007,12.150208
19-01-2007,12.198029
22-01-2007,11.976111
23-01-2007,11.931528
24-01-2007,12.430159
25-01-2007,12.156684
26-01-2007,12.34971
29-01-2007,12.265775
30-01-2007,12.311852
31-01-2007,12.490682
01-02-2007,11.998776
02-02-2007,11.992549
05-02-2007,11.635388
06-02-2007,11.742984
07-02-2007,11.706372
08-02-2007,11.731776
09-02-2007,11.50413
12-02-2007,11.414466
13-02-2007,11.43464
14-02-2007,11.604753
15-02-2007,11.493669
16-02-2007,11.704628
20-02-2007,11.758427
21-02-2007,11.852076
22-02-2007,11.851826
23-02-2007,11.721565
26-02-2007,11.579846
27-02-2007,11.177355
28-02-2007,11.194291
01-03-2007,11.163905
02-03-2007,10.926046
05-03-2007,10.982585
06-03-2007,11.396035
07-03-2007,11.348463
08-03-2007,11.325549
09-03-2007,11.281713
12-03-2007,11.326296
13-03-2007,11.03439
14-03-2007,11.158176
15-03-2007,11.113095
16-03-2007,10.980094
19-03-2007,11.138998
20-03-2007,11.09043
21-03-2007,11.371128
22-03-2007,11.507866
23-03-2007,11.502635
26-03-2007,11.581589
27-03-2007,11.547218
28-03-2007,11.503881
29-03-2007,11.47997
30-03-2007,11.411228
02-04-2007,11.420443
03-04-2007,11.77088
04-04-2007,11.731527
05-04-2007,11.743732
09-04-2007,11.66154
10-04-2007,11.618949
11-04-2007,11.569883
12-04-2007,11.641116
13-04-2007,11.613719
16-04-2007,11.812474
17-04-2007,11.775861
